epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9648,1.1679,1.28281,1.17923,0.61662,0.49873,0.51112,0.2752,1.22733,2.56018,1.34762,0.000472227,0.000472227,0.000472227
2,179.057,1.16935,0.84839,1.20906,0.68392,0.54381,0.60457,0.36074,1.15759,1.04037,1.25956,0.00093917,0.00093917,0.00093917
3,268.722,1.14411,0.81185,1.19453,0.68183,0.53424,0.59628,0.33918,1.16564,1.73234,1.27566,0.00139668,0.00139668,0.00139668
4,353.991,1.11942,0.77109,1.17525,0.70892,0.60591,0.67048,0.40186,1.08758,0.82805,1.21673,0.00138656,0.00138656,0.00138656
5,439.504,1.08081,0.73459,1.15524,0.76036,0.62464,0.70551,0.42968,1.06312,0.72416,1.18932,0.00137241,0.00137241,0.00137241
6,524.604,1.03615,0.68699,1.13112,0.78587,0.6782,0.75325,0.47167,0.99166,0.6728,1.13116,0.00135826,0.00135826,0.00135826
7,610.433,1.01124,0.66194,1.11565,0.78246,0.69576,0.7653,0.47887,0.99731,0.6794,1.14116,0.00134412,0.00134412,0.00134412
8,695.464,0.9897,0.64128,1.10645,0.80983,0.70004,0.77983,0.49385,0.9583,0.59525,1.11646,0.00132997,0.00132997,0.00132997
9,780.757,0.96937,0.62288,1.09173,0.78237,0.72831,0.79355,0.50506,0.94478,0.61581,1.11372,0.00131582,0.00131582,0.00131582
10,866.185,0.9361,0.59806,1.07097,0.82153,0.7222,0.80528,0.51557,0.93589,0.57071,1.10416,0.00130168,0.00130168,0.00130168
11,951.294,0.93714,0.59391,1.07248,0.81964,0.74013,0.81355,0.52283,0.92548,0.59029,1.09755,0.00128753,0.00128753,0.00128753
12,1036.73,0.91651,0.5766,1.06269,0.84217,0.75332,0.83198,0.54426,0.89585,0.54603,1.08062,0.00127338,0.00127338,0.00127338
13,1121.68,0.90778,0.57126,1.06282,0.85906,0.74748,0.82695,0.5422,0.90578,0.54782,1.08982,0.00125923,0.00125923,0.00125923
14,1205.85,0.8894,0.54884,1.05139,0.81705,0.76803,0.83007,0.54651,0.89922,0.55516,1.08917,0.00124509,0.00124509,0.00124509
15,1290.79,0.87118,0.53809,1.0426,0.83921,0.76643,0.83467,0.5492,0.88615,0.52968,1.07516,0.00123094,0.00123094,0.00123094
16,1376.18,0.86956,0.537,1.0349,0.857,0.74195,0.83156,0.55149,0.87468,0.5198,1.07091,0.00121679,0.00121679,0.00121679
17,1461.02,0.84579,0.51643,1.02479,0.85539,0.76812,0.84447,0.57021,0.85164,0.50039,1.05757,0.00120265,0.00120265,0.00120265
18,1545.77,0.84966,0.518,1.02566,0.86028,0.78271,0.85085,0.57434,0.85014,0.49756,1.05286,0.0011885,0.0011885,0.0011885
19,1631,0.8327,0.51052,1.02132,0.87161,0.77964,0.85672,0.57838,0.85019,0.49535,1.05495,0.00117435,0.00117435,0.00117435
20,1715.66,0.82371,0.50039,1.01387,0.85529,0.77542,0.8485,0.56969,0.83466,0.4955,1.05433,0.00116021,0.00116021,0.00116021
21,1799.47,0.81489,0.49434,1.01432,0.86891,0.79906,0.86419,0.58465,0.82717,0.47537,1.04729,0.00114606,0.00114606,0.00114606
22,1884.58,0.80977,0.48638,1.00558,0.84724,0.80239,0.86129,0.58707,0.81533,0.47632,1.04079,0.00113191,0.00113191,0.00113191
23,1969.65,0.79455,0.48281,1.00017,0.86811,0.78158,0.86271,0.58769,0.81093,0.47922,1.03732,0.00111776,0.00111776,0.00111776
24,2054.51,0.79192,0.47543,0.99922,0.85895,0.80214,0.87118,0.60014,0.79785,0.46204,1.03383,0.00110362,0.00110362,0.00110362
25,2139.4,0.77433,0.46307,0.99283,0.8699,0.80881,0.86984,0.59838,0.7979,0.45832,1.02914,0.00108947,0.00108947,0.00108947
26,2223.36,0.76624,0.45318,0.98533,0.86745,0.80267,0.87001,0.59446,0.80711,0.46767,1.03319,0.00107532,0.00107532,0.00107532
27,2307.19,0.76098,0.45329,0.98055,0.86604,0.81089,0.86559,0.60083,0.78964,0.45436,1.02222,0.00106118,0.00106118,0.00106118
28,2392.01,0.75042,0.44523,0.97455,0.86756,0.81257,0.87719,0.60421,0.79425,0.45434,1.02821,0.00104703,0.00104703,0.00104703
29,2476.75,0.74712,0.44336,0.9734,0.88884,0.81684,0.87735,0.61178,0.77944,0.45058,1.01813,0.00103288,0.00103288,0.00103288
